[2026-04-02 23:15:20] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings_backup.bin
[2026-04-02 23:57:07] Saving 2 values; 44 bytes
[2026-04-02 23:57:07] Saving 2 values; 44 bytes
[2026-04-02 23:57:07] Saving 2 values; 44 bytes
[2026-04-02 23:57:07] Saving 2 values; 44 bytes
[2026-04-02 23:57:08] Saving 2 values; 44 bytes
[2026-04-02 23:57:08] Saving 2 values; 44 bytes
[2026-04-02 23:57:08] Saving 2 values; 44 bytes
[2026-04-02 23:57:08] Saving 2 values; 44 bytes
[2026-04-02 23:57:09] Saving 2 values; 44 bytes
[2026-04-02 23:57:09] Saving 2 values; 44 bytes
[2026-04-02 23:57:09] Saving 2 values; 44 bytes
[2026-04-02 23:57:09] Saving 2 values; 44 bytes
[2026-04-02 23:57:10] Saving 2 values; 44 bytes
[2026-04-02 23:57:10] Saving 2 values; 44 bytes
[2026-04-02 23:57:10] Saving 2 values; 44 bytes
[2026-04-02 23:57:10] Saving 2 values; 44 bytes
[2026-04-02 23:57:11] Saving 2 values; 44 bytes
[2026-04-02 23:57:11] Saving 2 values; 44 bytes
[2026-04-02 23:57:11] Saving 2 values; 44 bytes
[2026-04-02 23:57:11] Saving 2 values; 44 bytes
[2026-04-02 23:57:12] Saving 2 values; 44 bytes
[2026-04-02 23:57:12] Saving 2 values; 44 bytes
[2026-04-02 23:57:12] Saving 2 values; 44 bytes
[2026-04-02 23:57:12] Saving 2 values; 44 bytes
[2026-04-02 23:57:13] Saving 2 values; 44 bytes
[2026-04-02 23:57:13] Saving 2 values; 44 bytes
[2026-04-02 23:57:13] Saving 2 values; 44 bytes
[2026-04-02 23:57:13] Saving 2 values; 44 bytes
[2026-04-02 23:57:14] Saving 2 values; 44 bytes
[2026-04-02 23:57:14] Saving 2 values; 44 bytes
[2026-04-02 23:57:14] Saving 2 values; 44 bytes
[2026-04-02 23:57:14] Saving 2 values; 44 bytes
[2026-04-02 23:57:14] Saving 2 values; 44 bytes
[2026-04-02 23:57:15] Saving 2 values; 44 bytes
[2026-04-02 23:57:15] Saving 2 values; 44 bytes
[2026-04-02 23:57:15] Saving 2 values; 44 bytes
[2026-04-02 23:57:15] Saving 2 values; 44 bytes
[2026-04-02 23:57:16] Saving 2 values; 44 bytes
[2026-04-02 23:57:16] Saving 2 values; 44 bytes
[2026-04-02 23:57:16] Saving 2 values; 44 bytes
[2026-04-02 23:57:16] Saving 2 values; 44 bytes
[2026-04-02 23:57:17] Saving 2 values; 44 bytes
[2026-04-02 23:57:17] Saving 2 values; 44 bytes
[2026-04-02 23:57:17] Saving 2 values; 44 bytes
[2026-04-02 23:57:17] Saving 2 values; 44 bytes
[2026-04-02 23:57:18] Saving 2 values; 44 bytes
[2026-04-03 00:00:34] Loaded 2 values
[2026-04-03 00:00:34] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 00:00:36] Saving 2 values; 44 bytes
[2026-04-03 00:00:37] Saving 2 values; 44 bytes
[2026-04-03 00:00:38] Saving 2 values; 44 bytes
[2026-04-03 00:01:36] Saving 2 values; 44 bytes
[2026-04-03 00:02:12] Loaded 2 values
[2026-04-03 00:02:12] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
