[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings_backup.bin
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:11] Saving 2 values; 44 bytes
[2026-04-03 09:55:11] Saving 2 values; 44 bytes
[2026-04-03 09:55:12] Saving 2 values; 44 bytes
[2026-04-03 09:55:13] Saving 2 values; 44 bytes
[2026-04-03 09:55:13] Saving 2 values; 44 bytes
[2026-04-03 09:55:13] Saving 2 values; 44 bytes
[2026-04-03 09:55:13] Saving 2 values; 44 bytes
[2026-04-03 09:55:16] Saving 2 values; 44 bytes
[2026-04-03 09:55:16] Saving 2 values; 44 bytes
[2026-04-03 09:55:16] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:17] Saving 2 values; 44 bytes
[2026-04-03 09:55:18] Saving 2 values; 44 bytes
[2026-04-03 09:55:18] Saving 2 values; 44 bytes
[2026-04-03 09:55:18] Saving 2 values; 44 bytes
[2026-04-03 09:55:18] Saving 2 values; 44 bytes
[2026-04-03 09:55:19] Saving 2 values; 44 bytes
[2026-04-03 09:55:19] Saving 2 values; 44 bytes
[2026-04-03 09:55:19] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:20] Saving 2 values; 44 bytes
[2026-04-03 09:55:21] Saving 2 values; 44 bytes
[2026-04-03 09:55:21] Saving 2 values; 44 bytes
[2026-04-03 09:55:22] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:23] Saving 2 values; 44 bytes
[2026-04-03 09:55:24] Saving 2 values; 44 bytes
[2026-04-03 09:55:24] Saving 2 values; 44 bytes
[2026-04-03 09:55:26] Saving 2 values; 44 bytes
[2026-04-03 09:55:27] Saving 2 values; 44 bytes
[2026-04-03 09:55:27] Saving 2 values; 44 bytes
[2026-04-03 09:55:27] Saving 2 values; 44 bytes
[2026-04-03 09:55:28] Saving 2 values; 44 bytes
[2026-04-03 09:55:28] Saving 2 values; 44 bytes
[2026-04-03 09:55:35] Saving 2 values; 44 bytes
[2026-04-03 09:55:35] Saving 2 values; 44 bytes
[2026-04-03 09:55:36] Saving 2 values; 44 bytes
[2026-04-03 09:55:36] Saving 2 values; 44 bytes
[2026-04-03 09:55:36] Saving 2 values; 44 bytes
[2026-04-03 09:55:38] Saving 2 values; 44 bytes
[2026-04-03 09:55:38] Saving 2 values; 44 bytes
[2026-04-03 09:55:39] Saving 2 values; 44 bytes
[2026-04-03 09:55:39] Saving 2 values; 44 bytes
[2026-04-03 09:55:39] Saving 2 values; 44 bytes
[2026-04-03 09:55:39] Saving 2 values; 44 bytes
[2026-04-03 09:55:40] Saving 2 values; 44 bytes
[2026-04-03 09:55:40] Saving 2 values; 44 bytes
[2026-04-03 09:55:40] Saving 2 values; 44 bytes
[2026-04-03 09:55:40] Saving 2 values; 44 bytes
[2026-04-03 09:55:41] Saving 2 values; 44 bytes
[2026-04-03 09:55:41] Saving 2 values; 44 bytes
[2026-04-03 09:55:42] Saving 2 values; 44 bytes
[2026-04-03 09:55:42] Saving 2 values; 44 bytes
[2026-04-03 09:55:43] Saving 2 values; 44 bytes
[2026-04-03 09:55:43] Saving 2 values; 44 bytes
